scenario_name,source_batch_id,expected_issue,modified_rows,output_file,file_size_bytes,sha256
duplicate_events,batch_0003,Duplicate event_id values,250.0,data\batches\invalid\duplicate_events\events.parquet,3278235,c2d5b09fb87d0e6c4047e7903dd0b2e2f812e0c4e21a56f0bf9cf3eaff24af11
missing_case_id,batch_0005,Missing mandatory case_id,100.0,data\batches\invalid\missing_case_id\events.parquet,3239000,d544066ec379acddd4b995dbc13d4b9545ed86544cb73b67a900fae1ad5350f4
missing_timestamp,batch_0007,Missing mandatory event_timestamp,50.0,data\batches\invalid\missing_timestamp\events.parquet,3264190,c7e5b34fb6d66bdc91b40d3c529caca32775ec2d0420faf394112e91dd28175e
schema_drift,batch_0009,Required activity column renamed to activity_name,100000.0,data\batches\invalid\schema_drift\events.parquet,3276728,3190d8fe143d05be0682a916eeae4d9c0e3dffafd62c4ab2e290a80b809d56b5
duplicate_batch_delivery,batch_0011,Previously processed ingestion_batch_id,0.0,data\batches\invalid\duplicate_batch_delivery\events.parquet,3321279,3f22d1cc6e7fd4897f977e062a466fd0764bd6931af2f4d825ba446aeea19571
corrupted_parquet,batch_0012,Unreadable corrupted Parquet file,,data\batches\invalid\corrupted_parquet\events.parquet,3298114,5901dddc27f2d7a8ba59e62f171e1d4031552d14da167384667e93ff3112a79e
